Date,Day,Time,Number
2021-07-28,Wednesday,18:30,78
2021-07-28,Wednesday,19:00,87
2021-07-28,Wednesday,19:30,73
2021-07-28,Wednesday,20:00,64
2021-07-28,Wednesday,20:30,63
2021-07-28,Wednesday,21:00,43
2021-07-28,Wednesday,21:30,23
2021-07-29,Thursday,13:00,63
2021-07-29,Thursday,13:30,58
2021-07-29,Thursday,14:00,48
2021-07-29,Thursday,14:30,43
2021-07-29,Thursday,15:00,40
2021-07-29,Thursday,15:30,28
2021-07-29,Thursday,16:00,28
2021-07-29,Thursday,16:30,45
2021-07-29,Thursday,17:00,44
2021-07-29,Thursday,17:30,52
2021-07-29,Thursday,18:00,59
2021-07-29,Thursday,18:30,57
2021-07-29,Thursday,19:00,61
2021-07-29,Thursday,19:30,55
2021-07-29,Thursday,20:00,49
2021-07-29,Thursday,20:30,41
2021-07-29,Thursday,21:00,36
2021-07-29,Thursday,21:30,33
2021-07-30,Friday,12:00,38
2021-07-30,Friday,12:30,32
2021-07-30,Friday,13:00,32
2021-07-30,Friday,13:30,45
2021-07-30,Friday,14:00,39
2021-07-30,Friday,14:30,36
2021-07-30,Friday,15:00,33
2021-07-30,Friday,15:30,35
2021-07-30,Friday,16:00,40
2021-07-30,Friday,16:30,46
2021-07-30,Friday,17:00,53
2021-07-30,Friday,17:30,59
2021-07-30,Friday,18:00,60
2021-07-30,Friday,18:30,59
2021-07-30,Friday,19:00,49
2021-07-30,Friday,19:30,32
2021-07-30,Friday,20:00,31
2021-07-30,Friday,20:30,35
2021-07-30,Friday,21:00,24
2021-07-30,Friday,21:30,24
2021-07-31,Saturday,13:00,50
2021-07-31,Saturday,13:30,54
2021-07-31,Saturday,14:00,46
2021-07-31,Saturday,14:30,37
2021-07-31,Saturday,15:00,36
2021-07-31,Saturday,15:30,34
2021-07-31,Saturday,16:00,45
2021-07-31,Saturday,16:30,43
2021-07-31,Saturday,17:00,31
2021-07-31,Saturday,17:30,24
2021-07-31,Saturday,18:00,21
2021-07-31,Saturday,18:30,22
2021-07-31,Saturday,19:00,25
2021-07-31,Saturday,19:30,31
2021-07-31,Saturday,20:00,16
2021-08-01,Sunday,13:30,30
2021-08-01,Sunday,14:00,26
2021-08-01,Sunday,14:30,26
2021-08-01,Sunday,15:00,30
2021-08-01,Sunday,15:30,28
2021-08-01,Sunday,16:00,30
2021-08-01,Sunday,16:30,35
2021-08-01,Sunday,17:00,33
2021-08-01,Sunday,17:30,34
2021-08-01,Sunday,18:00,32
2021-08-01,Sunday,18:30,49
2021-08-02,Monday,13:00,71
2021-08-02,Monday,13:30,51
2021-08-02,Monday,14:00,51
2021-08-02,Monday,14:30,46
2021-08-02,Monday,15:00,46
2021-08-02,Monday,15:30,47
2021-08-02,Monday,16:00,44
2021-08-02,Monday,16:30,46
2021-08-02,Monday,17:00,52
2021-08-02,Monday,17:30,60
2021-08-02,Monday,18:00,69
2021-08-02,Monday,18:30,77
2021-08-02,Monday,19:00,74
2021-08-02,Monday,19:30,82
2021-08-02,Monday,20:00,73
2021-08-02,Monday,20:30,59
2021-08-02,Monday,21:00,52
2021-08-02,Monday,21:30,32
2021-08-03,Tuesday,13:30,48
2021-08-03,Tuesday,14:00,41
2021-08-03,Tuesday,14:30,33
2021-08-03,Tuesday,15:00,30
2021-08-03,Tuesday,15:30,26
2021-08-03,Tuesday,16:00,36
2021-08-03,Tuesday,16:30,46
2021-08-03,Tuesday,17:00,49
